url,body_width,body_height,words_count,links_count,img_count,dom_depth,element_width,element_height,left,top,font_size,line_height,bold_words,class_name,id_name,color_b,color_g,color_r,background_b,background_g,background_r,has_content
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,4,0,0,6,460,30,209.5,439,26,29,0,"","",51,51,51,51,51,51,1
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,44,0,0,7,460,80,209.5,471,16,19,0,"","",102,102,102,102,102,102,1
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,1789,7,1,8,460,3863,209.5,910,14,18,28,flexible-content-body,"",51,51,51,51,51,51,1
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,1,0,0,2,10,10,0,-159984,16,-1,0,"",twttrHubFrameSecure,51,51,51,255,255,255,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,1,0,0,2,10,10,0,-159984,16,-1,0,"",twttrHubFrame,51,51,51,255,255,255,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,173,57,2,3,940,259,209.5,0,12,15,0,"",header,51,51,51,255,255,255,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,34,1,1,5,620,150,209.5,259,12,15,0,"",badge-medium,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,6,3,0,5,620,15,209.5,409,12,15,0,blog-navigation,blog-nav-top,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,6,3,1,5,140,132,689.5,444,12,15,1,"share-links trackable-component",content-actions,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,13,0,1,8,460,296,209.5,604,14,18,0,block,mainblock,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,33,1,2,7,440,88,209.5,4785.75,14,18,0,"email-subscription-promo js-email-upsell b4","",51,51,51,245,245,245,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,122,22,5,4,140,893,689.5,598,12,15,2,"",related,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,6,3,0,4,620,15,209.5,4904.75,12,15,0,blog-navigation,blog-nav-bottom,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,5,3,1,4,620,30,209.5,4947.75,12,15,0,"share-links page-bottom-share-links col-8 b3 trackable-component","",51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,653,12,16,4,620,500,209.5,5017.75,12,15,0,"trackable-component component-wrapper eight-col","",51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,34,0,0,4,460,250,209.5,5527.75,12,15,0,"trackable-component component-wrapper six-col","",51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,133,1,0,4,620,460,209.5,5787.75,12,15,0,"trackable-component component-wrapper eight-col","",51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,2099,100,28,3,300,5122,849.5,259,12,15,96,"",promo,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,59,3,0,3,620,143,209.5,6247.75,12,15,0,"component eight-col more-in-series","",51,51,51,255,255,255,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,16,5,0,3,940,28,209.5,6410.75,12,15,0,"trackable-component crumb-wrapper global","",51,51,51,237,237,237,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,52,10,0,3,940,65,209.5,6458.75,12,15,0,"",footer-container,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/2014/dec/09/how-to-eat-toast,6552,1349,1,0,0,2,1,1,0,-100,16,-1,0,"",oauth2relay744396344,51,51,51,255,255,255,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,13,0,0,6,460,60,209.5,439,26,29,0,"","",51,51,51,51,51,51,1
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,29,0,0,7,460,60,209.5,501,16,19,0,"","",102,102,102,102,102,102,1
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,429,2,1,8,460,1082,209.5,935,14,18,11,flexible-content-body,"",51,51,51,51,51,51,1
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,1,0,0,2,10,10,0,-159984,16,-1,0,"",twttrHubFrameSecure,51,51,51,255,255,255,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,1,0,0,2,10,10,0,-159984,16,-1,0,"",twttrHubFrame,51,51,51,255,255,255,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,170,57,2,3,940,259,209.5,0,12,15,0,"",header,51,51,51,255,255,255,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,34,2,1,5,620,150,209.5,259,12,15,0,"",badge-medium,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,6,3,0,5,620,15,209.5,409,12,15,0,blog-navigation,blog-nav-top,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,6,3,1,5,140,132,689.5,444,12,15,1,"share-links trackable-component",content-actions,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,19,0,1,8,460,311,209.5,614,14,18,0,block,mainblock,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,33,1,2,7,440,88,209.5,2029.984375,14,18,0,"email-subscription-promo js-email-upsell b4","",51,51,51,245,245,245,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,69,16,3,4,140,400,689.5,608,12,15,0,"",related,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,6,3,0,4,620,15,209.5,2148.984375,12,15,0,blog-navigation,blog-nav-bottom,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,5,3,1,4,620,30,209.5,2191.984375,12,15,0,"share-links page-bottom-share-links col-8 b3 trackable-component","",51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,635,12,16,4,620,467,209.5,2261.984375,12,15,0,"trackable-component component-wrapper eight-col","",51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,34,0,0,4,460,250,209.5,2738.984375,12,15,0,"trackable-component component-wrapper six-col","",51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,133,1,0,4,620,13600,209.5,2998.984375,12,15,0,"trackable-component component-wrapper eight-col","",51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,2069,89,28,3,300,4919,849.5,259,12,15,96,"",promo,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,16,5,0,3,940,28,209.5,16598.984375,12,15,0,"trackable-component crumb-wrapper global","",51,51,51,237,237,237,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,52,10,0,3,940,65,209.5,16646.984375,12,15,0,"",footer-container,51,51,51,51,51,51,0
http://www.theguardian.com/lifeandstyle/shortcuts/2014/dec/09/cereal-killer-cafe-london-breakfast,16740,1349,1,0,0,2,1,1,0,-100,16,-1,0,"",oauth2relay509202990,51,51,51,255,255,255,0
http://www.bbc.com/news/world-europe-30396903,3677,1349,378,10,2,10,464,1740,186.5,135,13,16,0,story-body,"",80,80,80,80,80,80,1
http://www.bbc.com/news/world-europe-30396903,3677,1349,8,0,0,11,623,34,186.5,192,32,34,0,story-header,"",80,80,80,80,80,80,1
http://www.bbc.com/news/world-europe-30396903,3677,1349,44,27,2,2,1349,40,0,0,10,16,0,"blq-clearfix blq-mast-bg-transparent-light blq-lang-en-GB blq-ltr",blq-masthead,80,80,80,255,255,255,0
http://www.bbc.com/news/world-europe-30396903,3677,1349,26,16,1,7,976,88,186.5,40,13,16,0,"",header-wrapper,80,80,80,80,80,80,0
http://www.bbc.com/news/world-europe-30396903,3677,1349,172,12,0,10,464,619,186.5,1893,13,16,19,"","",80,80,80,80,80,80,0
http://www.bbc.com/news/world-europe-30396903,3677,1349,534,7,24,12,448,329,186.5,2536,13,16,0,"ob_strip_container AR_1","",80,80,80,237,237,237,0
http://www.bbc.com/news/world-europe-30396903,3677,1349,394,7,0,11,464,252,186.5,2893,13,16,0,outbrain_BBC_articles,"",80,80,80,237,237,237,0
http://www.bbc.com/news/world-europe-30396903,3677,1349,14,6,0,11,464,80,186.5,3165,13,16,0,share-help,page-bookmark-links-foot,80,80,80,80,80,80,0
http://www.bbc.com/news/world-europe-30396903,3677,1349,45,5,1,10,448,151,186.5,3261,13,16,0,top-index-stories,"",80,80,80,237,237,237,0
http://www.bbc.com/news/world-europe-30396903,3677,1349,735,53,7,9,336,2424,826.5,145,13,16,0,layout-block-b,"",80,80,80,80,80,80,0
http://www.bbc.com/news/world-europe-30396903,3677,1349,26,11,0,7,976,124,186.5,3436,13,16,0,footer,related-services,80,80,80,80,80,80,0
http://www.bbc.com/news/world-europe-30396903,3677,1349,148,11,1,5,960,75,186.5,3572,12,19,60,"blq-rst blq-clearfix blq-foot-transparent blq-foot-text-dark",blq-foot,255,255,255,80,80,80,0
http://www.newstatesman.com/future-proof/2014/12/russias-richest-man-indulges-james-watsons-nobel-prize-sale-tantrum-buys-give,4187,1349,17,0,0,18,511,114,178,420,33,38,0,node-title,"",0,0,0,0,0,0,1
http://www.newstatesman.com/future-proof/2014/12/russias-richest-man-indulges-james-watsons-nobel-prize-sale-tantrum-buys-give,4187,1349,34,0,0,22,511,54,178,544,16,18,0,"","",0,0,0,0,0,0,1
http://www.newstatesman.com/future-proof/2014/12/russias-richest-man-indulges-james-watsons-nobel-prize-sale-tantrum-buys-give,4187,1349,679,9,0,20,511,1799,178,614,15,22,5,"field-item even","",0,0,0,0,0,0,1
http://www.newstatesman.com/future-proof/2014/12/russias-richest-man-indulges-james-watsons-nobel-prize-sale-tantrum-buys-give,4187,1349,10,0,0,4,993,118,178,0,12,20,0,"",aboveheader,0,0,0,0,0,0,0
http://www.newstatesman.com/future-proof/2014/12/russias-richest-man-indulges-james-watsons-nobel-prize-sale-tantrum-buys-give,4187,1349,9,2,1,4,993,205,178,0,12,20,0,"",header-wrapper,0,0,0,0,0,0,0
http://www.newstatesman.com/future-proof/2014/12/russias-richest-man-indulges-james-watsons-nobel-prize-sale-tantrum-buys-give,4187,1349,26,35,0,4,993,64,178,205,12,20,0,"",menu-bar-wrapper,0,0,0,0,0,0,0
